r,phi[0],phi[1],
165.18,2.46114,0.00240461,
165.667,2.46113,0.00232464,
166.154,2.46111,0.00224692,
166.642,2.4611,0.0021714,
167.129,2.46109,0.002098,
167.616,2.46108,0.00202666,
168.103,2.46106,0.00195731,
168.591,2.46105,0.0018899,
169.078,2.46104,0.00182438,
169.565,2.46103,0.00176067,
170.052,2.46102,0.00169873,
170.54,2.46101,0.00163851,
171.027,2.461,0.00157995,
171.514,2.46099,0.001523,
172.001,2.46098,0.00146762,
172.489,2.46097,0.00141375,
172.976,2.46096,0.00136136,
173.463,2.46095,0.00131039,
173.95,2.46094,0.0012608,
174.438,2.46094,0.00121255,
174.925,2.46093,0.00116561,
175.412,2.46092,0.00111992,
175.899,2.46091,0.00107545,
176.387,2.46091,0.00103217,
176.874,2.4609,0.000990041,
177.361,2.46089,0.000949021,
177.848,2.46088,0.00090908,
178.336,2.46088,0.000870183,
178.823,2.46087,0.000832299,
179.31,2.46086,0.000795396,
179.797,2.46086,0.000759443,
180.285,2.46085,0.000724411,
180.772,2.46085,0.000690271,
181.259,2.46084,0.000656994,
181.746,2.46083,0.000624554,
182.234,2.46083,0.000592924,
182.721,2.46082,0.000562077,
183.208,2.46082,0.00053199,
183.696,2.46081,0.000502636,
184.183,2.46081,0.000473993,
184.67,2.4608,0.000446038,
185.157,2.4608,0.000418747,
185.645,2.46079,0.000392099,
186.132,2.46079,0.000366073,
186.619,2.46079,0.000340647,
187.106,2.46078,0.000315802,
187.594,2.46078,0.000291517,
188.081,2.46077,0.000267774,
188.568,2.46077,0.000244554,
189.055,2.46077,0.000221838,
189.543,2.46076,0.000199609,
190.03,2.46076,0.000177849,
190.517,2.46075,0.00015654,
191.004,2.46075,0.000135667,
191.492,2.46075,0.00011521,
191.979,2.46074,9.5153e-05,
192.466,2.46074,7.54758e-05,
192.953,2.46074,5.61562e-05,
193.441,2.46073,3.71661e-05,
193.928,2.46073,1.84668e-05,
194.415,2.46073,0,
